time,AT,BE,BG,CH,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,SE,SI,SK,UK
8417,0.13495772989237192,0.3489663133010858,0.057112885138903974,0.040967111012645475,0.12135966102019409,0.3855413124094172,0.31301677087349844,0.18386567347457505,0.03343163761432626,0.08239879598101844,0.14178050112001275,0.22775588790542065,0.30599070251892346,0.506909529761435,0.08330859509359567,0.24597784321109867,0.17117464564965415,0.32560011426161206,0.15894231675571924,0.47970054653780086,0.07993163539539684,0.32000485454633565,0.1019592147493035,0.14299562880479263,0.2200494175857492,0.22476576894885164,0.26961419896063865,0.12149705660029685
8418,0.14573871809529232,0.341756255408217,0.059455268296200944,0.0490906609342021,0.12082774822533603,0.3900674066675238,0.3242146711460718,0.2157350770822139,0.033505930217077706,0.09612058746094744,0.13529904207713223,0.23264908862534933,0.29497859777499696,0.4987059126888552,0.09620932711750349,0.2536259336800248,0.196229254841424,0.3250696318448877,0.19445821978782313,0.37557730829515146,0.07625277016673987,0.32851325422908206,0.09086327888961064,0.14494933583712447,0.25856144667931497,0.2153673265182181,0.27461684600773495,0.12831049415825468
8419,0.15215316257250316,0.3416239932490727,0.0645542673835338,0.06288789860637407,0.131315918242307,0.3953164378536246,0.35140924736765716,0.2225627306283798,0.0347389991284772,0.11216456467364436,0.13450869417990152,0.23731387772981635,0.2892240345959327,0.4894271669990372,0.10952399053965024,0.26352882447193715,0.22083560361853755,0.38836405111484845,0.21958443548106646,0.31271435883042603,0.07316958129323445,0.33786854554338247,0.0899353538130708,0.14426608245651465,0.3023625338137367,0.22052115611844061,0.27573395015200663,0.1368985303389043
8420,0.15880973160283005,0.3470712730728744,0.06798052740816173,0.07444508573533641,0.15257124538174308,0.4115244574831046,0.3416380858819999,0.20030305160897613,0.03652203708144657,0.12754995307716469,0.13247282321960333,0.23082776704815353,0.2879577268512119,0.4737835396111848,0.1309953235740847,0.27232015058885856,0.2459689218811826,0.49966948856165366,0.25262762421909396,0.2724030947902168,0.06959267982304211,0.33922890611276973,0.09723373240957363,0.14123130126381794,0.3346372695778539,0.23321573568632994,0.2699571038157326,0.14537460978033728
8421,0.16264975362242512,0.3135049471240702,0.06925488465479779,0.07653932836432793,0.17399200963584036,0.43298090645044635,0.3141092133761708,0.2020345397485636,0.03672972449372973,0.1361617219599655,0.12957108340905393,0.21923449544749565,0.2864172606671997,0.4676605783654355,0.15683899454052372,0.27714010958881014,0.26617660892642026,0.4812909388419207,0.2845276575087986,0.2739897449594322,0.06833147918776994,0.33659028625659554,0.1218840294828977,0.14229792171275168,0.3591727855263165,0.23419711253467201,0.26889020723352525,0.15210780633989263
8422,0.165178980870511,0.20594430067173086,0.08272655874766804,0.07206377116928994,0.1487647988361049,0.48138760253824575,0.3344044529584373,0.2011617614938094,0.03788830299444945,0.14705591008905908,0.12730376148519768,0.19110545389835162,0.29358430237787986,0.5209261971722552,0.2086488620783327,0.280872907541381,0.2705076122470478,0.3889193267988151,0.29903667468558465,0.3264978475235713,0.07131600966582793,0.32720415141848136,0.1943139547582907,0.15823565378578214,0.3971353864819541,0.2565967566998123,0.2487453760726058,0.1617326294928866
8423,0.16190962915225254,0.16917233429734124,0.08655217546296157,0.07849936896459633,0.15318184976804963,0.47589359241023155,0.3347755292870137,0.21579942725239326,0.03771114644296232,0.15502156039656464,0.12274620734911801,0.19360850794866152,0.29884092777627264,0.5572831720909306,0.2396812374090203,0.2723846117513752,0.277395610958919,0.18442594753294328,0.2996335922618484,0.3160581039369711,0.06783811785092092,0.33964012975648145,0.21608831351400812,0.15865615945920747,0.38279611119431933,0.2285848007126762,0.2588432559200287,0.1645133798515365
8424,0.14310997479846949,0.17835509644718361,0.087419616111151,0.0635596104382972,0.1720562522193921,0.49266232273093336,0.35560473556320094,0.252784237960546,0.0375631000717035,0.1645393475934104,0.12102838151494479,0.19742989875537315,0.29378331028372257,0.5384855699678309,0.27852620805124695,0.2598123009450745,0.28106860875822115,0.1340783296349697,0.32582409024720904,0.28731892736516185,0.06378084857067506,0.3413214085586339,0.2501293995520198,0.15509649067393147,0.38967175818494976,0.21535254288838385,0.2454717585557663,0.17004372554384065
8425,0.1317570918152303,0.17335955356785301,0.0872875097995487,0.04633707005565818,0.18551386454029872,0.497744848551948,0.3852908213854258,0.2796807056030398,0.0336546677066854,0.17575227475004732,0.11470433273283949,0.20108494430316914,0.3016883130751536,0.5217201799952348,0.3349430375704053,0.24381127704502334,0.28221494605619896,0.17871213968419278,0.32907983581368627,0.29122531352977,0.05867296007451681,0.3670391855376005,0.2838585526539812,0.15374217334195844,0.40918614881451126,0.2119599783164592,0.2253350165736461,0.16592764085447792
8426,0.12017201356907274,0.17814805259469152,0.08923519560843443,0.04105358294532563,0.18255283213313656,0.47029721117572754,0.4760898486079378,0.3048696768329612,0.03360154002727597,0.18627424704351517,0.11129861692972362,0.20153221286701253,0.29887030004278864,0.5188690788071075,0.38814157895053836,0.23218462890055508,0.29370281200029025,0.16973259780819586,0.39245751425563363,0.304969673356341,0.05627979566192421,0.4075439778833845,0.31730923330595434,0.15218379841689844,0.42119709188710064,0.19669799430983204,0.20557834621267315,0.149496809548729
