time,AT,BE,BG,CH,CZ,DE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LV,NO,PT,RO,SE,SI,SK
39,0.158017244,0.180361539,0.096832996,0.126020372,0.080537311,0.229463783,0.027559079,0.137087406,0.671102764,0.293099803,0.316333452,0.317822667,1.209651215,0.180922477,0.106635216,0.06897934,0.695457597,0.121907781,0.168749165,0.618063335,0.214379456,0.14176424
40,0.160702581,0.179830987,0.095624653,0.112522278,0.086586076,0.225588912,0.02755179,0.087745367,0.670628912,0.224248262,0.366421091,0.365460083,1.199676041,0.182119912,0.112711372,0.068559264,0.696921939,0.107810314,0.179866806,0.618994342,0.219060703,0.154783407
41,0.159801304,0.180339406,0.095546643,0.104359452,0.091658428,0.234302549,0.026412703,0.078621677,0.669227742,0.162781663,0.399458088,0.360669545,1.192816705,0.19340396,0.113715077,0.068084053,0.698068338,0.09261042,0.196123201,0.61890221,0.215454785,0.15682073
42,0.160711181,0.18068209,0.094552795,0.094961626,0.092807737,0.239792513,0.026412703,0.098903643,0.669512905,0.14252969,0.443573764,0.320044992,1.190976317,0.229690622,0.113878361,0.05962031,0.695960699,0.091868029,0.20822785,0.61892451,0.208948652,0.146681365
43,0.167679884,0.184249818,0.093599095,0.091397715,0.102154649,0.241365039,0.027891483,0.100449161,0.668753311,0.145509957,0.474589135,0.269160175,1.190188981,0.209870146,0.113074193,0.05921192,0.693867147,0.094651466,0.218750268,0.617957182,0.205786291,0.15325551
44,0.164108966,0.189369231,0.093114466,0.100324022,0.091209171,0.242002667,0.027627167,0.09092299,0.668027124,0.16857602,0.538644764,0.205821321,1.190271926,0.222274343,0.111271401,0.058485449,0.691951662,0.099431382,0.208016104,0.617506572,0.205187738,0.179700189
45,0.162130355,0.198641995,0.094056889,0.104662582,0.090064316,0.24462433,0.028361991,0.085230782,0.66791872,0.182145541,0.466579164,0.185295746,1.186764885,0.217403738,0.109831919,0.058876176,0.690061374,0.094061879,0.19561342,0.617492384,0.205778348,0.199611589
46,0.16111521,0.225330108,0.096406198,0.105372066,0.08715997,0.25783008,0.028782596,0.08275709,0.66762921,0.229172353,0.533304469,0.182837015,1.184153929,0.239630826,0.109392616,0.060251539,0.687692898,0.119839369,0.190526814,0.617279051,0.206020198,0.210969251
47,0.159680848,0.272233002,0.100491877,0.108565846,0.086910414,0.264853482,0.035062521,0.083097715,0.668454943,0.15635754,0.515951479,0.357910961,1.185647896,0.231300573,0.113694749,0.073606345,0.686200422,0.126986369,0.186234714,0.617660253,0.206057225,0.252434839
48,0.161479954,0.290430368,0.099985941,0.09629175,0.082069001,0.269510005,0.033625431,0.094090147,0.667951309,0.139046888,0.545528158,0.436487233,1.182354969,0.215925134,0.10997692,0.083507725,0.685413653,0.143494076,0.182062873,0.616743958,0.205424605,0.275504099
49,0.159851851,0.286722847,0.098089454,0.094852312,0.08136706,0.270738782,0.040469373,0.1154645,0.667384671,0.127856161,0.599717367,0.575819809,1.184414647,0.225445033,0.11234219,0.207414751,0.684898401,0.181112729,0.180725719,0.615980394,0.204977743,0.378662797
50,0.161016882,0.254254629,0.097175986,0.092772559,0.079304916,0.271151902,0.054776837,0.109741649,0.667205083,0.116515041,0.56882095,1.011202451,1.210236138,0.249897359,0.113585988,0.240987562,0.684054745,0.157891109,0.181223909,0.615268116,0.204389618,0.419038934
51,0.158783542,0.236338987,0.096535733,0.091009308,0.078232301,0.266693894,0.090877424,0.135170151,0.666811251,0.108517898,0.727474182,0.372800102,1.237756754,0.309867976,0.114495139,0.197852336,0.68288669,0.154703214,0.18502739,0.61479241,0.20426997,0.367294529
52,0.156302411,0.217519932,0.095710001,0.08896204,0.077903466,0.270309401,0.136371113,0.152006243,0.666591652,0.104890664,0.804217333,0.424954009,1.241552491,0.486110398,0.11603512,0.135349676,0.682508187,0.184514574,0.183972858,0.614516479,0.204389823,0.216631908
53,0.153447748,0.219330613,0.093881956,0.088031713,0.077680764,0.270314238,0.214412716,0.137200939,0.666530022,0.102698474,0.800713801,0.450959248,1.29747054,0.604988625,0.112698144,0.094614867,0.682019419,0.161312837,0.170074145,0.614666386,0.204982022,0.269807898
54,0.152493531,0.205806387,0.092608349,0.087717056,0.076511165,0.257308743,0.292523725,0.151384999,0.666836837,0.098989257,0.772616882,0.395316323,1.310852993,0.621464036,0.109439963,0.081861071,0.680934554,0.160059677,0.164958209,0.614106556,0.206978309,0.19612237
55,0.153137299,0.187937176,0.0927086,0.091377169,0.077234842,0.251570273,0.354808168,0.196349731,0.667638785,0.119736104,0.966078233,0.37265859,1.20208963,0.584845284,0.110100265,0.071093004,0.680317469,0.26191253,0.168378179,0.614021048,0.204197376,0.22077122
56,0.15436013,0.183951248,0.093488555,0.088021147,0.077073297,0.244805693,0.472163812,0.2771198,0.670962511,0.117163111,0.911404411,0.339752593,1.172643713,0.425135249,0.110957628,0.062602996,0.679498529,0.377508002,0.163177861,0.614578282,0.281640121,0.204532236
57,0.155695924,0.182354955,0.093620257,0.085704181,0.077173324,0.244651633,0.788034899,0.52301694,0.671135402,0.107732256,0.855564937,0.258358075,1.168422825,0.301510859,0.119572123,0.062116811,0.679028229,0.715884349,0.166691633,0.614524042,0.340737122,0.209731173
58,0.157395095,0.182931933,0.093764843,0.084649172,0.076063674,0.275482864,1.188615828,0.635907635,0.668655643,0.108150026,0.86970355,0.27200234,1.174399649,0.207648609,0.148952285,0.060948256,0.678548836,1.114622021,0.164885346,0.61454188,0.313796755,0.214806848
59,0.157549972,0.183795851,0.093815128,0.084849704,0.074897677,0.286604507,1.556938485,0.761268934,0.669258905,0.103668271,0.849715445,0.271783296,1.174520684,0.25889198,0.198578542,0.064452459,0.677593603,1.292969197,0.162520431,0.614822184,0.275529742,0.21839982
60,0.155935866,0.18276619,0.094297377,0.084524401,0.074454629,0.297125091,1.726316019,1.055603837,0.668984479,0.108352421,0.746163462,0.250476207,1.202676407,0.290701336,0.242804275,0.072660998,0.676774218,1.806160684,0.162470162,0.615654087,0.210600125,0.209339381
61,0.155592059,0.187890959,0.095184428,0.084663179,0.074546902,0.30024566,1.758248796,1.160611378,0.668480539,0.131365055,0.508608877,0.245304899,1.278423066,0.318476633,0.241715173,0.067740057,0.675920913,1.979798655,0.162057297,0.61476015,0.203127506,0.186035476
62,0.154458055,0.1874716,0.094198169,0.08408967,0.074161836,0.276191827,2.071617846,1.565878275,0.667888176,0.175306859,0.260496252,0.242056565,1.223366654,0.304457261,0.24183534,0.062663881,0.675073993,2.254036565,0.155659836,0.61435249,0.203675679,0.171313529
63,0.151850558,0.185628557,0.095068512,0.083085094,0.073437503,0.228237636,1.384659503,1.541882682,0.667895581,0.233509021,0.215672353,0.300426052,1.1711312,0.318247734,0.237038376,0.067326128,0.674321479,2.279983997,0.158071205,0.613772574,0.205070028,0.153504339
64,0.151517629,0.19023702,0.094203873,0.082978705,0.073877877,0.224525564,0.804148592,1.909510707,0.668160804,0.281934126,0.149818864,0.265316025,1.171061277,0.186475398,0.194924943,0.063020539,0.673440353,2.341884254,0.172940314,0.613255297,0.20670006,0.143022056
65,0.151445739,0.209616982,0.093696582,0.083227772,0.073686716,0.223612599,0.748334836,1.683596628,0.669674702,0.327085961,0.162795834,0.216471382,1.180357037,0.172504858,0.156193644,0.063898516,0.672700381,1.968463736,0.175508059,0.613227269,0.20407527,0.158423837
66,0.151408462,0.269534343,0.094430383,0.084818587,0.072543505,0.223819201,0.364025737,1.225588338,0.670893624,0.356266846,0.197996562,0.198631914,1.170482453,0.184834393,0.167422505,0.062725929,0.671779045,2.582731742,0.187741976,0.613548035,0.202525227,0.1585415
67,0.151389643,0.411302253,0.09243655,0.085054002,0.074195717,0.221971129,0.270649167,1.017731295,0.67107226,0.440008941,0.175984019,0.21652198,1.163669613,0.172531404,0.166594935,0.063516089,0.671135181,2.743938218,0.196281421,0.614062037,0.202768565,0.16271673
68,0.151216541,0.458634398,0.092438502,0.091460313,0.075190751,0.222235138,0.189233491,1.038502168,0.668893631,0.608900866,0.144172314,0.233914563,1.183945655,0.178700434,0.165282344,0.064350958,0.6705877,3.953164054,0.197121925,0.613877811,0.202286723,0.174593288
69,0.151312689,0.541084339,0.09124107,0.106985478,0.078816052,0.221435789,0.16577288,0.683610359,0.667626405,0.700550858,0.115822071,0.223500884,1.172960172,0.174062979,0.161542633,0.061911933,0.670384502,2.156883994,0.19235007,0.613777637,0.202397312,0.182650007
70,0.150970451,0.495420056,0.09085527,0.105119658,0.0906507,0.22205539,0.358702973,0.669532922,0.668242929,0.640542741,0.121274986,0.218873138,1.184221746,0.200219337,0.151354655,0.0600668,0.670195167,1.075632938,0.183329157,0.613056876,0.202282159,0.198061415
71,0.150919646,0.399669652,0.090797339,0.09912503,0.111676823,0.222493021,0.193797613,0.793748636,0.667551182,0.724482199,0.113570772,0.216074223,1.176478096,0.190953541,0.146139724,0.059377463,0.670186421,1.339872062,0.176111303,0.612412216,0.202282967,0.244436494
72,0.150949682,0.373125622,0.090929042,0.099909166,0.105455762,0.223254566,0.18964822,1.130582834,0.667618216,0.52495464,0.11369605,0.19497975,1.155348652,0.170002866,0.141250798,0.059331902,0.669751608,0.757113328,0.165732869,0.61212385,0.20272233,0.237960707
73,0.150943787,0.280402214,0.090937788,0.107488669,0.094484614,0.224045214,0.113752267,0.765527948,0.667731548,0.428662398,0.113288855,0.189270862,1.15081997,0.163181099,0.160572629,0.059959697,0.667985625,0.638284914,0.159661585,0.611638343,0.202612791,0.240116666
74,0.150929804,0.292389347,0.090957646,0.114125403,0.080195617,0.230399853,0.085926849,0.907331288,0.667736121,0.377004342,0.114822019,0.191611612,1.149661692,0.162762132,0.174227586,0.06041489,0.666776572,0.628324403,0.166011168,0.611215064,0.202944355,0.233630334
75,0.150895217,0.247771105,0.090922718,0.115982401,0.076342844,0.243232648,0.067532621,0.529793026,0.66784084,0.332446763,0.114098974,0.181017316,1.150018669,0.175852406,0.172430701,0.061374683,0.665817674,0.778404976,0.171296796,0.610700068,0.203037856,0.199613158
76,0.151538874,0.232704028,0.090992267,0.114782354,0.076377015,0.244016004,0.058144642,0.4827936,0.667700877,0.397799606,0.117116309,0.16532918,1.150175986,0.181230231,0.160444209,0.061532097,0.665294051,2.438138688,0.17477753,0.610338516,0.202871289,0.152032704
77,0.151389269,0.246995528,0.092101922,0.109866432,0.076981965,0.246575669,0.047385604,0.527248947,0.667649588,0.296284631,0.112758996,0.15884777,1.160435638,0.187916807,0.141536595,0.06265359,0.664297493,3.409953466,0.181097489,0.610175906,0.202014953,0.139855869
78,0.151057135,0.245267702,0.093137157,0.109956287,0.077874486,0.245261253,0.039321523,0.63093772,0.667047975,0.219807761,0.111920529,0.144996168,1.1606784,0.218426779,0.128870034,0.062762117,0.664346386,2.839399115,0.183714782,0.609349103,0.202396701,0.143297581
79,0.153029595,0.246547375,0.092326736,0.118059507,0.077767372,0.22822921,0.049727214,0.812110082,0.667391873,0.252884563,0.12150626,0.139032379,1.153767323,0.287508656,0.128525697,0.062390791,0.663071404,3.180261348,0.16968103,0.609767503,0.211017861,0.150694801
80,0.157344726,0.236708118,0.09201823,0.112786297,0.082675261,0.236935764,0.090638872,1.08658569,0.66776205,0.216552219,0.177197206,0.138071948,1.147395187,0.341703476,0.128176605,0.062914195,0.663184568,2.814049437,0.16024093,0.609937616,0.35212035,0.147007669
81,0.155096021,0.236312796,0.092295997,0.119131416,0.090487933,0.238029398,0.139204389,1.23901877,0.66755197,0.193082452,0.19492618,0.154680986,1.148807557,0.39032174,0.114851079,0.061885781,0.664597888,2.954077414,0.160218719,0.609596457,0.338868177,0.14289757
