time,BE,BG,CH,CZ,DE,ES,FI,FR,HU,NL,RO,SE,SI,SK,UK
7234,0.7057883223960963,0.9073,0.7420410848279214,0.8905940594059405,0.8746552732953322,0.82320585941075,0.9834726207924959,0.6616539916068709,0.9000848345926633,0.9653499003012176,1.0,0.9121996652805304,0.8114942528735632,0.9121649484536082,0.7552326123804691
7235,0.7055359246171967,0.9071,0.7416772727771838,0.8901980198019801,0.8681688265604117,0.823910569998206,0.9836875980006452,0.6617323399362066,0.8932140161492155,0.9519478384455475,1.0,0.9127986988579793,0.8160919540229885,0.9117525773195876,0.7517261900541665
7236,0.705409725727747,0.9073,0.7415265013011825,0.8896534653465347,0.8593682585819522,0.8250131657264909,0.983615707274549,0.6607316735170004,0.8992430188410729,0.9491125217428196,1.0,0.9128115442680986,0.8215517241379311,0.9132989690721651,0.7547714981703054
7237,0.7053255931347805,0.9076000000000001,0.7411898009644823,0.8892079207920792,0.8556977424873331,0.8257920497345663,0.9835441253132032,0.6593813506021918,0.9002161227270005,0.9817158796826609,1.0,0.9134448195148288,0.8258620689655173,0.9093814432989691,0.7552832969667597
7238,0.7055359246171967,0.9075,0.7409284863657826,0.8940594059405941,0.8523289488071553,0.8267676458404358,0.9835441253132032,0.6607393843529602,0.9002161385284267,0.9871282508166815,1.0,0.9138867998949138,0.8258620689655173,0.9089690721649484,0.755264911589687
7239,0.7059986538785126,0.9076000000000001,0.7407264661637623,0.8985643564356435,0.8655950063237023,0.827350422687551,0.9834728521166081,0.6617551048926898,0.899952643015609,0.987257116796063,1.0,0.9140319408894131,0.8258620689655173,0.9117525773195876,0.7554876796219626
7240,0.7065455157327949,0.9077999999999999,0.7405405373030632,0.8996534653465347,0.9019872140920906,0.8279298222799497,0.9835444340779539,0.663131917835434,0.8993729452913286,0.9871279856603454,1.0,0.9140060005521887,0.8252873563218392,0.9117525773195876,0.755495913369242
7241,0.7065875820292782,0.9076000000000001,0.7409797350918015,0.8995049504950495,0.9226165910756006,0.8282400249812933,0.9835444340779539,0.6628210168469402,0.8992657280549275,0.9869996499936363,1.0,0.9142492941165721,0.8255747126436782,0.912061855670103,0.7557931924965299
7242,0.7070082449941107,0.9077999999999999,0.741039029488481,0.8991584158415842,0.9250231356196037,0.8287188380521746,0.9835447428427043,0.66371812049806,0.8992130213562831,0.9872568516397269,1.0,0.9148384377044998,0.8255747126436782,0.9115463917525772,0.7559538611979575
7243,0.7073027090694936,0.9076000000000001,0.7414350242218608,0.8990099009900989,0.9195414239351939,0.8290459270271006,0.9833291481050539,0.6643671945821479,0.899477338258364,0.9871282508166815,1.0,0.9147711177216736,0.8258620689655173,0.9121649484536082,0.7561167460447953
7244,0.7074709742554266,0.9077,0.7421274909386383,0.8993564356435643,0.9178767268230301,0.8291021304836133,0.9833290706644154,0.663976222625261,0.8996618132267808,0.9871282508166815,1.0,0.9147324767387037,0.8252873563218392,0.9122680412371134,0.7561520379257782
7245,0.7077654383308094,0.9077,0.7421948310059783,0.8996534653465347,0.9211677248238404,0.8293780818841014,0.9835444340779539,0.6613017385051979,0.8998189855220406,0.9873862479317806,1.0,0.9149371819851521,0.8252873563218392,0.9118556701030929,0.7560441838339518
7246,0.7079757698132256,0.9077,0.7425234856720181,0.8998019801980197,0.919919923999308,0.8294044949849994,0.9835444340779539,0.6595378603878219,0.899845770079358,0.9871282508166815,1.0,0.9153013873832603,0.8252873563218392,0.9109278350515464,0.756385972037635
7247,0.7081019687026755,0.9076000000000001,0.7428119119847552,0.9018316831683169,0.9149944083785992,0.8294888001697682,0.9835444340779539,0.658472706766438,0.899976492693576,0.9871282508166815,1.0,0.9153081223032405,0.8258620689655173,0.9119587628865979,0.756201878198691
7248,0.7083123001850917,0.9077,0.7374080762162587,0.9027227722772277,0.9170436709317533,0.8294871115424101,0.9835444340779539,0.6533618261378136,0.8997141218434443,0.9774834542446227,1.0,0.9126418686618043,0.8298850574712645,0.9123711340206185,0.7565707514291529
7249,0.7083964327780583,0.9077999999999999,0.7375025279976362,0.9026237623762376,0.9196542891308667,0.8293848363935343,0.9835444340779539,0.6466857196293688,0.8997402998539155,0.9768401849730601,1.0,0.9065162984365613,0.8350574712643679,0.9145360824742269,0.7568279235410923
7250,0.7085226316675081,0.9077999999999999,0.7374000305455982,0.9029702970297029,0.921126376259706,0.8294146267491488,0.9837594887267416,0.6413554681181299,0.897513388421445,0.9774842497136312,1.0,0.9023130309149258,0.8402298850574713,0.9146391752577319,0.756450957677143
7251,0.7086488305569578,0.9077999999999999,0.7376965025289958,0.9033663366336633,0.9167283767528696,0.8295517581357139,0.9836875980006454,0.635771076497899,0.89740625961605,0.977870052182767,1.0,0.898700018017353,0.8456896551724139,0.9155670103092785,0.7568777431668421
7252,0.7087750294464076,0.9077,0.7373326904782582,0.9032673267326732,0.9168716832383756,0.8295500695083555,0.9841908330833198,0.6373311948587406,0.8966314080301254,0.977870052182767,1.0,0.8972026543618753,0.8517241379310345,0.9154639175257732,0.7573571046692172
7253,0.7087750294464076,0.9077,0.7372894874228997,0.9033663366336633,0.930043287064661,0.8295450036262808,0.9843349233002628,0.6472099119319494,0.8842053057016924,0.9832712867506682,1.0,0.8972147880738237,0.8571839080459771,0.9151546391752576,0.7573975160749036
7254,0.7084384990745416,0.9076000000000001,0.7371628529588802,0.9037623762376237,0.9360265513629166,0.8293601119199945,0.9845509042433026,0.6592298786453181,0.8764116259031726,0.9875145835984898,1.0,0.8961840269647577,0.864367816091954,0.9146391752577319,0.7578786627855282
7255,0.7084805653710248,0.9077999999999999,0.7371708986295407,0.9038118811881187,0.9367985723165985,0.8294410398500469,0.9846949944602457,0.6634212102089155,0.8759376132467516,0.9869996499936363,1.0,0.8919751558132081,0.8715517241379311,0.9149484536082474,0.758377435196141
7256,0.7084805653710249,0.9077,0.7372141016848991,0.9042079207920792,0.9406018566839741,0.8295169018980246,0.9854851749178042,0.6683710646092633,0.8761210109567615,0.9872568516397269,1.0,0.8923073160078943,0.8795977011494254,0.9158762886597938,0.7584245535861989
7257,0.7079337035167425,0.9077,0.7372814417522393,0.903960396039604,0.935919369633709,0.8295680394724624,0.9856289563699969,0.6702784576087669,0.8763062915130153,0.9873857176191083,1.0,0.8928130556733954,0.8859195402298852,0.9156701030927834,0.758441427540827
7258,0.7072185764765271,0.9073,0.7380924972623756,0.9033168316831682,0.9336901270198819,0.8290577474186083,0.9856289563699969,0.6699709853792236,0.8762527950279605,0.9871282508166815,1.0,0.8926636199393008,0.8853448275862069,0.919381443298969,0.7583530505034153
7259,0.7071765101800438,0.9073,0.7381005429330363,0.9028217821782178,0.9320989339066077,0.8233637330793044,0.9856292651347474,0.6699682715903342,0.8802281168424176,0.9873857176191083,1.0,0.8927127685065649,0.8859195402298852,0.9237113402061855,0.7586215773091407
7260,0.707050311290594,0.9074,0.7370201271535395,0.9024752475247524,0.9297195029878942,0.8194371029359774,0.9860606094913255,0.6686918450901986,0.8877335100270306,0.9871282508166815,1.0,0.8931219821956891,0.8859195402298852,0.9205154639175257,0.758767823980667
7261,0.7066717146222448,0.9074,0.7341608794736574,0.9018811881188119,0.9317331997749976,0.8162807874807914,0.9862762816696146,0.6682535142391708,0.8979229950557401,0.9871282508166815,1.0,0.8971428778429958,0.8862068965517242,0.9151546391752576,0.7581662571612009
7262,0.7064613831398284,0.9074,0.7344463310843388,0.9015841584158416,0.935766099928187,0.8133503695421801,0.9869229894397309,0.6687486095832677,0.8997916102193037,0.9871282508166815,1.0,0.9013967968502055,0.8879310344827587,0.9149484536082475,0.7584604889367237
7263,0.7065034494363116,0.9074,0.73558097029191,0.9017821782178217,0.9352647086525637,0.8104677119232901,0.987354333796309,0.6691849849782725,0.8998969130066081,0.9875143184421535,1.0,0.9024438736444417,0.8933908045977013,0.9142268041237113,0.7587130831529222
7264,0.7068399798081778,0.9073,0.7362090716434031,0.9021782178217821,0.9295302067478456,0.8081403343600929,0.9833284531349143,0.6695397293763465,0.9003441821324387,0.9881570574010436,1.0,0.9026528850568871,0.8988505747126437,0.9138144329896907,0.7585998902856179
7265,0.7068399798081777,0.9073,0.7365135892974611,0.9025742574257425,0.9272040772845657,0.8085090340821413,0.9879294596050796,0.6704349095773233,0.900423306909272,0.9880284565779984,1.0,0.9028112914912872,0.9014367816091955,0.9155670103092785,0.7580132364817341
7266,0.7067979135116944,0.9073,0.7362764117107431,0.9032178217821782,0.9237632138057897,0.8088113985835275,0.9882889132355611,0.6711357593669918,0.8999234669200821,0.9881573225573799,1.0,0.9030062805718331,0.9063218390804598,0.9240206185567011,0.7580364321499184
7267,0.7068399798081777,0.9073,0.7365728836941408,0.9039108910891089,0.9231741218735785,0.8093666786392202,0.9885761673751959,0.6738046063223847,0.8997393426293673,0.9881570574010436,1.0,0.9035694590855116,0.9114942528735632,0.9260824742268042,0.7580070149870175
7268,0.707344775365977,0.907,0.7367749038961608,0.9044554455445544,0.9225439012124032,0.8097550369527335,0.9890078204965246,0.6734758424392858,0.8996611434742293,0.9881570574010436,1.0,0.904208459497511,0.9169540229885058,0.9270103092783504,0.7586881393735488
7269,0.7077233720343261,0.9073,0.7368934926895199,0.9049009900990098,0.9196076624397443,0.8082528674562613,0.9892238014395641,0.6704132586319537,0.8997662946248225,0.9876426541088625,1.0,0.9063911254202175,0.9224137931034484,0.927319587628866,0.7583173686931571
7270,0.7079757698132256,0.9071999999999999,0.737316599136937,0.905,0.9177286685533506,0.8058262394283577,0.9895829463052952,0.6677346586589674,0.8995324237401139,0.9876426541088625,1.0,0.9063948521746725,0.9295977011494253,0.9251546391752576,0.7584021738305152
7271,0.7081440349991588,0.9073,0.722484954296398,0.9050495049504951,0.9202736942235852,0.8026864576762067,0.9899420911710264,0.6618141789713573,0.8931717579410309,0.9882867188494336,1.0,0.9064991344276712,0.9347701149425289,0.9183505154639174,0.7589627948813538
7272,0.7082702338886084,0.9073,0.7373758935336167,0.9058415841584159,0.9182130513103786,0.80149280225372,0.9903018535662585,0.6544894717561143,0.8799506337579542,0.988543655339188,1.0,0.9067882109012968,0.9364942528735632,0.9209278350515465,0.758153612023663
7273,0.7079757698132257,0.9075,0.6884789589740672,0.9055445544554456,0.9103446354311465,0.799742783085016,0.9905894164706439,0.6500204241393406,0.8670976697253012,0.9881570574010436,1.0,0.9069886121243801,0.9367816091954024,0.9278350515463917,0.7577230031367523
7274,0.708354366481575,0.9073,0.7376804111876748,0.9051485148514852,0.9161014792200121,0.7985508162898876,0.9910923427885677,0.6484332231255594,0.8547408747979087,0.9881570574010436,1.0,0.906991081284118,0.9367816091954024,0.9289690721649485,0.7579880345576663
7275,0.7084384990745415,0.9071999999999999,0.737300507795616,0.9052475247524752,0.919236955621902,0.7986317442199399,0.9914521051837999,0.6390631775680286,0.846179540711139,0.9884145242034704,1.0,0.9070155865831243,0.9367816091954024,0.9295876288659795,0.7579926009085847
7276,0.7085226316675081,0.9071999999999999,0.7370552845382374,0.9052475247524752,0.9197230448073604,0.7986002652369671,0.9918115588142815,0.636861043452086,0.8457873980937851,0.988285658224089,1.0,0.9070180557428623,0.9373563218390805,0.9291752577319589,0.7583353891630565
7277,0.7086067642604745,0.9071,0.7372170763869548,0.9061881188118811,0.9235530043272495,0.7985440617804545,0.9921707036800127,0.6422460167585369,0.8458386610548942,0.9840330809045013,1.0,0.9068314430433688,0.9370689655172415,0.9281443298969073,0.7581547670693992
7278,0.7086067642604745,0.9071,0.7372683251129738,0.9068811881188118,0.9300338060183272,0.7984665111051186,0.9925304660752449,0.6501309259886996,0.8459424474750834,0.9650900470917653,1.0,0.9067370105127095,0.9370689655172415,0.925360824742268,0.7578938414800708
7279,0.7082702338886085,0.907,0.7376994772310514,0.9067326732673268,0.9256621824954632,0.7984715769871933,0.9928180289796303,0.653548858176035,0.8343620491230096,0.9649611811123838,1.0,0.906869450821517,0.9367816091954024,0.9215463917525775,0.7579089076643223
7280,0.7084384990745416,0.907,0.7380632892817891,0.9065346534653465,0.9196403164716154,0.7986368101020147,0.9929621191965735,0.6550473099819293,0.7829160320180467,0.9649611811123838,1.0,0.9067334612017552,0.9370689655172415,0.9244329896907217,0.7579352535427089
7281,0.7086908968534411,0.9071999999999999,0.7376994772310514,0.9065346534653465,0.9115654352266551,0.7984417866315788,0.9933215728270552,0.6554002372719777,0.7724783737317509,0.9650900470917653,1.0,0.9067982266407351,0.9376436781609196,0.9231958762886598,0.7575059785998132
7282,0.7079757698132257,0.9077,0.7369557617882551,0.9062376237623763,0.9005057697910497,0.7980798414189636,0.9937529171836331,0.6568254761436043,0.785093025276264,0.9649611811123838,1.0,0.9065788073101784,0.9376436781609196,0.9212371134020618,0.7575153418163441
