time,AT,BE,CZ,DE,ES,FI,FR,HU,IT,NL,PL,RO,SE,UK,BG,CH,DK,EE,EL,HR,IE,LT,LU,LV,NO,PT,SI,SK
6437,0.16325944119051666,0.15746958047964144,0.1630319073555028,0.15975757387637846,0.15522030560284514,0.39687994706137236,0.16195996786743802,0.1640168436736782,0.1585847878216862,0.15299077931697544,0.1639492885951358,0.40468819435309844,0.1597985883407128,0.0766169182306926,0.43989272815277747,0.15823142639750623,0.16381054340294407,0.3615716894499899,0.3858823338532057,0.1651643420513646,0.05545885230203408,0.43304946340107653,0.15167538218218535,0.41321281661684583,0.16486482621271387,0.05954500407175304,0.1685611078688736,0.16574066844449906
6438,0.39424493708608616,0.40009027956770293,0.42244500404013663,0.40534480698272185,0.39183828176039126,0.9051481230253635,0.40260882524818664,0.43528654943789763,0.4053821211138096,0.3793762285654348,0.40695540673896546,0.9362669909027733,0.41799357388249514,0.16054196258137748,0.9633547737235215,0.41638149238970384,0.4175779168112722,0.8377616722022104,0.8725785866154709,0.4062597076696361,0.1647648949568349,0.9424341904857143,0.4410603946853332,0.9188535200175909,0.4385748553137987,0.16042495328355202,0.41388218871299326,0.4201515081089679
6439,0.900906459653562,0.8741289428974032,0.9375154968633254,0.8948960104488649,0.8495575611067636,0.9275903761864739,0.9043918132775065,0.9607004362151348,0.8879279785280619,0.8194356294040225,0.9221490156476975,0.9409320255755796,0.9121726904420182,0.40920206174394175,0.9832010932751439,0.9006237360594954,0.93562166187803,0.8788438053907791,0.9105778374298145,0.9284834890030811,0.3831040030377721,0.9725117054769683,0.9455489722830085,0.9473805760639398,0.9702026160327886,0.3852083744437991,0.9590741442328591,0.950637335442653
6440,0.9240768440863871,0.9261549588033277,0.9602911540117283,0.9351056423965085,0.9133686846286013,0.5971876075222777,0.933653116698979,0.977811146656141,0.93404523993302,0.8951624473144572,0.9411485703142606,0.6299931622240625,0.9514843341227662,0.9047837022552077,0.5980880836443054,0.9479204167355895,0.9547397819266815,0.5653096869410816,0.5688660715085404,0.94139841270486,0.8949145290684813,0.5794260014795668,0.951747925991924,0.584193272777658,0.9828606206680933,0.8717766057731795,0.9544561596817613,0.9598888962978189
6441,0.5960590182796682,0.54108921282067,0.5941837426619079,0.5628888324076858,0.5196270523892301,0.51191568547855,0.5837934698573198,0.6036758374231438,0.5517425430127436,0.49830969870853875,0.602745124046652,0.5256167151062042,0.5634075186306672,0.9408299819101719,0.455205888471662,0.5484961047869279,0.601534652481983,0.5355769228493272,0.5057650052520145,0.6142864335475867,0.9111078380823509,0.45061483681031717,0.5669630442372096,0.48057805800073733,0.6117689344590611,0.9097238665126689,0.646648434172657,0.6199056216839838
6442,0.5146006970517321,0.466394787419646,0.4756080463209128,0.4754114008557021,0.46162436271591095,0.4282612158254109,0.49442808153895923,0.465457399701016,0.4671678081668053,0.46257588741281,0.5025621542456057,0.4308376891345884,0.4589213867847409,0.5703833024495255,0.30972616585701956,0.4501100026517143,0.4875036904511741,0.5025792306401787,0.4378331599589476,0.5119743065560698,0.6102540017462205,0.31491537294625643,0.3802283321574051,0.37340686516452426,0.4670207272861541,0.569026745053869,0.5255970528906221,0.49757576009590987
6443,0.43473046164316054,0.3779559202154124,0.35519643781138954,0.37948547246895137,0.384982239836094,0.4009367754349828,0.4024982027578469,0.32661565820750854,0.3711545131858703,0.40378261832918516,0.4044417071467911,0.41473848053300044,0.3448152768927262,0.47577578654297753,0.3329667866134386,0.33827602763543313,0.3741104370185669,0.43179526439487087,0.395819367748276,0.4148888054680315,0.5398957802518736,0.3289504200441216,0.19227584428657246,0.3644471434560009,0.32347675811682186,0.5067820665369429,0.41765267971426956,0.3805387351957438
6444,0.4042410684275913,0.3508850487284999,0.35770399633743316,0.35995122778597644,0.3468760537323639,0.555055423551478,0.3810614723082897,0.3447976198703729,0.3509654397333912,0.34970645219331636,0.38929692031202,0.5938085953691905,0.34016661113375957,0.3743279932310605,0.5747775662878369,0.33079970054111385,0.3713634734254119,0.5053129058831383,0.5197434969467785,0.39965048542976384,0.47608284348033775,0.5516851556593848,0.2594778587281918,0.5481740675365796,0.34602735138371915,0.43981947875304817,0.4133936499084266,0.3819653488377818
6445,0.5526905718874813,0.4960070924152373,0.5629639987928942,0.5217876793338232,0.4692833520798116,0.6568805907680192,0.5431203510096209,0.5787904495707682,0.5097934450041947,0.44088023039967894,0.5654363313538832,0.6610610931489809,0.5278609368346038,0.3597929580382254,0.7303477491995576,0.5110905838330374,0.5687629963648332,0.6053075265812531,0.6459760401449199,0.5775691836790792,0.4334007220847983,0.7238538377773336,0.5636881298988893,0.6885185073705835,0.5889446035164148,0.39702434717183777,0.6157634244151948,0.5896803164039235
6446,0.6526810120177668,0.6781185948796792,0.7015392200683143,0.6810094735010975,0.6699956834862912,0.6718413621684852,0.6704564382886128,0.7208858191704803,0.6842000012353593,0.6546165256611494,0.6725900501458569,0.6573530893646927,0.7025427428090123,0.5315448314762617,0.6675199744488601,0.7039624971964418,0.6911355463740482,0.6884613571491874,0.6847395512844829,0.6681603097427861,0.5631291431784708,0.6759820681500993,0.7289810924283586,0.67579926816839,0.7242515139907955,0.5196228087940665,0.6721468452871078,0.690393308840126
